[15:08:51] 模块导入完成
[11:57:22] 后台拉取: klass
[11:57:22] 后台拉取: klass
[11:57:22] 后台拉取: klass
[11:57:22] 后台拉取失败: klass - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: klass - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: klass - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: klass - 文件中未找到 Spider 类
[11:57:22] 后台拉取: long
[11:57:22] 后台拉取: long
[11:57:22] 后台拉取: long
[11:57:22] 后台拉取: long
[11:57:22] 后台拉取失败: long - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: long - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: long - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: long - 文件中未找到 Spider 类
[11:57:22] 后台拉取: protocol5
[11:57:22] 后台拉取: protocol5
[11:57:22] 后台拉取: protocol5
[11:57:22] 后台拉取: protocol5
[11:57:22] 后台拉取失败: protocol5 - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: protocol5 - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: protocol5 - 文件中未找到 Spider 类
[11:57:22] 后台拉取: set
[11:57:22] 后台拉取失败: protocol5 - 文件中未找到 Spider 类
[11:57:22] 后台拉取: set
[11:57:22] 后台拉取: set
[11:57:22] 后台拉取: set
[11:57:22] 后台拉取失败: set - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: set - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: set - 文件中未找到 Spider 类
[11:57:22] 后台拉取: APP配置MAP提取器
[11:57:22] 后台拉取失败: set - 文件中未找到 Spider 类
[11:57:22] 后台拉取: APP配置MAP提取器
[11:57:22] 后台拉取: APP配置MAP提取器
[11:57:22] 后台拉取: APP配置MAP提取器
[11:57:22] 后台拉取失败: APP配置MAP提取器 - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: APP配置MAP提取器 - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: APP配置MAP提取器 - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: APP配置MAP提取器 - 文件中未找到 Spider 类
[11:57:22] 后台拉取: XYQ规则链接提取器
[11:57:22] 后台拉取: XYQ规则链接提取器
[11:57:22] 后台拉取: XYQ规则链接提取器
[11:57:22] 后台拉取: XYQ规则链接提取器
[11:57:22] 后台拉取失败: XYQ规则链接提取器 - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: XYQ规则链接提取器 - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: XYQ规则链接提取器 - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: XYQ规则链接提取器 - 文件中未找到 Spider 类
[11:57:22] 后台拉取: compare_source
[11:57:22] 后台拉取: compare_source
[11:57:22] 后台拉取: compare_source
[11:57:22] 后台拉取: compare_source
[11:57:22] 后台拉取失败: compare_source - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: compare_source - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: compare_source - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: compare_source - 文件中未找到 Spider 类
[11:57:22] 后台拉取: move_error_sources
[11:57:22] 后台拉取: move_error_sources
[11:57:22] 后台拉取: move_error_sources
[11:57:22] 后台拉取: move_error_sources
[11:57:22] 后台拉取失败: move_error_sources - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: move_error_sources - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: move_error_sources - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: move_error_sources - 文件中未找到 Spider 类
[11:57:22] 后台拉取: move_error_sources_test
[11:57:22] 后台拉取: move_error_sources_test
[11:57:22] 后台拉取: move_error_sources_test
[11:57:22] 后台拉取: move_error_sources_test
[11:57:22] 后台拉取失败: move_error_sources_test - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: move_error_sources_test - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: move_error_sources_test - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: move_error_sources_test - 文件中未找到 Spider 类
[11:57:22] 后台拉取: 采集分类生成器
[11:57:22] 后台拉取: 采集分类生成器
[11:57:22] 后台拉取: 采集分类生成器
[11:57:22] 后台拉取: 采集分类生成器
[11:57:22] 后台拉取失败: 采集分类生成器 - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: 采集分类生成器 - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: 采集分类生成器 - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: 采集分类生成器 - 文件中未找到 Spider 类
[11:57:22] 后台拉取: 采集转换器
[11:57:22] 后台拉取: 采集转换器
[11:57:22] 后台拉取: 采集转换器
[11:57:22] 后台拉取: 采集转换器
[11:57:22] 后台拉取失败: 采集转换器 - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: 采集转换器 - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: 采集转换器 - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: 采集转换器 - 文件中未找到 Spider 类
[11:57:22] 后台拉取: crawler
[11:57:22] 后台拉取: crawler
[11:57:22] 后台拉取: crawler
[11:57:22] 后台拉取: crawler
[11:57:22] 后台拉取失败: crawler - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: crawler - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: crawler - 文件中未找到 Spider 类
[11:57:22] 后台拉取失败: crawler - 文件中未找到 Spider 类
[11:57:22] 后台拉取: 4K影视
[11:57:22] 后台拉取: 4K影视
[11:57:22] 后台拉取: 4K影视
[11:57:22] 后台拉取: 4K影视
[11:57:28] 后台拉取失败: 4K影视 - 
[11:57:28] 后台拉取失败: 4K影视 - 
[11:57:28] 后台拉取失败: 4K影视 - 
[11:57:28] 后台拉取失败: 4K影视 - 
[11:57:28] 后台拉取: AppFei
[11:57:28] 后台拉取: AppFei
[11:57:28] 后台拉取: AppFei
[11:57:28] 后台拉取: AppFei
[11:57:28] 后台拉取失败: AppFei - Invalid URL '/api.php?type=getsort': No scheme supplied. Perhaps you meant https:///api.php?type=getsort?
[11:57:28] 后台拉取失败: AppFei - Invalid URL '/api.php?type=getsort': No scheme supplied. Perhaps you meant https:///api.php?type=getsort?
[11:57:28] 后台拉取失败: AppFei - Invalid URL '/api.php?type=getsort': No scheme supplied. Perhaps you meant https:///api.php?type=getsort?
[11:57:28] 后台拉取失败: AppFei - Invalid URL '/api.php?type=getsort': No scheme supplied. Perhaps you meant https:///api.php?type=getsort?
[11:57:28] 后台拉取: AppFox
[11:57:28] 后台拉取: AppFox
[11:57:28] 后台拉取: AppFox
[11:57:28] 后台拉取: AppFox
[11:57:28] 后台拉取失败: AppFox - Expecting value: line 1 column 1 (char 0)
[11:57:28] 后台拉取失败: AppFox - Expecting value: line 1 column 1 (char 0)
[11:57:28] 后台拉取失败: AppFox - Expecting value: line 1 column 1 (char 0)
[11:57:28] 后台拉取失败: AppFox - Expecting value: line 1 column 1 (char 0)
[11:57:28] 后台拉取: AppGet
[11:57:28] 后台拉取: AppGet
[11:57:28] 后台拉取: AppGet
[11:57:28] 后台拉取: AppGet
[11:57:28] 后台拉取失败: AppGet - 'key'
[11:57:28] 后台拉取失败: AppGet - 'key'
[11:57:28] 后台拉取失败: AppGet - 'key'
[11:57:28] 后台拉取: AppHs
[11:57:28] 后台拉取失败: AppGet - 'key'
[11:57:28] 后台拉取: AppHs
[11:57:28] 后台拉取: AppHs
[11:57:28] 后台拉取: AppHs
[11:57:28] 后台拉取失败: AppHs - Invalid URL '/api/block/category_type': No scheme supplied. Perhaps you meant https:///api/block/category_type?
[11:57:28] 后台拉取失败: AppHs - Invalid URL '/api/block/category_type': No scheme supplied. Perhaps you meant https:///api/block/category_type?
[11:57:28] 后台拉取失败: AppHs - Invalid URL '/api/block/category_type': No scheme supplied. Perhaps you meant https:///api/block/category_type?
[11:57:28] 后台拉取失败: AppHs - Invalid URL '/api/block/category_type': No scheme supplied. Perhaps you meant https:///api/block/category_type?
[11:57:28] 后台拉取: AppMuou
[11:57:28] 后台拉取: AppMuou
[11:57:28] 后台拉取: AppMuou
[11:57:28] 后台拉取: AppMuou
[11:57:28] 后台拉取失败: AppMuou - 'host'
[11:57:28] 后台拉取失败: AppMuou - 'host'
[11:57:28] 后台拉取失败: AppMuou - 'host'
[11:57:28] 后台拉取失败: AppMuou - 'host'
[11:57:28] 后台拉取: AppSk
[11:57:28] 后台拉取: AppSk
[11:57:28] 后台拉取: AppSk
[11:57:28] 后台拉取: AppSk
[11:57:28] 后台拉取失败: AppSk - 
[11:57:28] 后台拉取失败: AppSk - 
[11:57:28] 后台拉取失败: AppSk - 
[11:57:28] 后台拉取失败: AppSk - 
[11:57:28] 后台拉取: AppToV5
[11:57:28] 后台拉取: AppToV5
[11:57:28] 后台拉取: AppToV5
[11:57:28] 后台拉取: AppToV5
[11:57:28] 后台拉取失败: AppToV5 - 
[11:57:28] 后台拉取失败: AppToV5 - 
[11:57:28] 后台拉取失败: AppToV5 - 
[11:57:28] 后台拉取: AppV1
[11:57:28] 后台拉取失败: AppToV5 - 
[11:57:28] 后台拉取: AppV1
[11:57:28] 后台拉取: AppV1
[11:57:28] 后台拉取: AppV1
[11:57:28] 后台拉取失败: AppV1 - Invalid URL '/v1.vod/types': No scheme supplied. Perhaps you meant https:///v1.vod/types?
[11:57:28] 后台拉取失败: AppV1 - Invalid URL '/v1.vod/types': No scheme supplied. Perhaps you meant https:///v1.vod/types?
[11:57:28] 后台拉取失败: AppV1 - Invalid URL '/v1.vod/types': No scheme supplied. Perhaps you meant https:///v1.vod/types?
[11:57:28] 后台拉取失败: AppV1 - Invalid URL '/v1.vod/types': No scheme supplied. Perhaps you meant https:///v1.vod/types?
[11:57:28] 后台拉取: AppV2²
[11:57:28] 后台拉取: AppV2²
[11:57:28] 后台拉取: AppV2²
[11:57:28] 后台拉取: AppV2²
[11:57:28] 后台拉取失败: AppV2² - Invalid URL '//api.php/app/nav?token=': No scheme supplied. Perhaps you meant https:////api.php/app/nav?token=?
[11:57:28] 后台拉取失败: AppV2² - Invalid URL '//api.php/app/nav?token=': No scheme supplied. Perhaps you meant https:////api.php/app/nav?token=?
[11:57:28] 后台拉取失败: AppV2² - Invalid URL '//api.php/app/nav?token=': No scheme supplied. Perhaps you meant https:////api.php/app/nav?token=?
[11:57:28] 后台拉取失败: AppV2² - Invalid URL '//api.php/app/nav?token=': No scheme supplied. Perhaps you meant https:////api.php/app/nav?token=?
[11:57:28] 后台拉取: AppV2¹
[11:57:28] 后台拉取: AppV2¹
[11:57:28] 后台拉取: AppV2¹
[11:57:28] 后台拉取: AppV2¹
[11:57:28] 后台拉取失败: AppV2¹ - Expecting value: line 1 column 1 (char 0)
[11:57:28] 后台拉取失败: AppV2¹ - Expecting value: line 1 column 1 (char 0)
[11:57:28] 后台拉取失败: AppV2¹ - Expecting value: line 1 column 1 (char 0)
[11:57:28] 后台拉取失败: AppV2¹ - Expecting value: line 1 column 1 (char 0)
[11:57:28] 后台拉取: AppV6
[11:57:28] 后台拉取: AppV6
[11:57:28] 后台拉取: AppV6
[11:57:28] 后台拉取: AppV6
[11:57:28] 后台拉取失败: AppV6 - Expecting value: line 1 column 1 (char 0)
[11:57:28] 后台拉取失败: AppV6 - Expecting value: line 1 column 1 (char 0)
[11:57:28] 后台拉取失败: AppV6 - Expecting value: line 1 column 1 (char 0)
[11:57:28] 后台拉取失败: AppV6 - Expecting value: line 1 column 1 (char 0)
[11:57:28] 后台拉取: AppYqk
[11:57:28] 后台拉取: AppYqk
[11:57:28] 后台拉取: AppYqk
[11:57:28] 后台拉取: AppYqk
[11:57:28] 后台拉取失败: AppYqk - Expecting value: line 1 column 1 (char 0)
[11:57:28] 后台拉取失败: AppYqk - Expecting value: line 1 column 1 (char 0)
[11:57:28] 后台拉取失败: AppYqk - Expecting value: line 1 column 1 (char 0)
[11:57:28] 后台拉取失败: AppYqk - Expecting value: line 1 column 1 (char 0)
[11:57:28] 后台拉取: _bridge
[11:57:28] 后台拉取: _bridge
[11:57:28] 后台拉取: _bridge
[11:57:28] 后台拉取: _bridge
[11:57:28] 后台拉取失败: _bridge - 文件中未找到 Spider 类
[11:57:28] 后台拉取失败: _bridge - 文件中未找到 Spider 类
[11:57:28] 后台拉取失败: _bridge - 文件中未找到 Spider 类
[11:57:28] 后台拉取失败: _bridge - 文件中未找到 Spider 类
[11:57:28] 后台拉取: base_java_loader
[11:57:28] 后台拉取: base_java_loader
[11:57:28] 后台拉取: base_java_loader
[11:57:28] 后台拉取: base_java_loader
[11:57:28] 后台拉取失败: base_java_loader - No module named 't4'
[11:57:28] 后台拉取失败: base_java_loader - No module named 't4'
[11:57:28] 后台拉取失败: base_java_loader - No module named 't4'
[11:57:28] 后台拉取失败: base_java_loader - No module named 't4'
[11:57:28] 后台拉取: base_test
[11:57:28] 后台拉取: base_test
[11:57:28] 后台拉取: base_test
[11:57:28] 后台拉取: base_test
[11:57:28] 后台拉取失败: base_test - No module named 'core'
[11:57:28] 后台拉取失败: base_test - No module named 'core'
[11:57:28] 后台拉取失败: base_test - No module named 'core'
[11:57:28] 后台拉取: getapp3.4.2
[11:57:28] 后台拉取失败: base_test - No module named 'core'
[11:57:28] 后台拉取: getapp3.4.2
[11:57:28] 后台拉取: getapp3.4.2
[11:57:28] 后台拉取: getapp3.4.2
[11:57:28] 后台拉取失败: getapp3.4.2 - Expecting value: line 1 column 1 (char 0)
[11:57:28] 后台拉取失败: getapp3.4.2 - Expecting value: line 1 column 1 (char 0)
[11:57:28] 后台拉取失败: getapp3.4.2 - Expecting value: line 1 column 1 (char 0)
[11:57:28] 后台拉取失败: getapp3.4.2 - Expecting value: line 1 column 1 (char 0)
[11:57:28] 后台拉取: getapp3.4.4
[11:57:28] 后台拉取: getapp3.4.4
[11:57:28] 后台拉取: getapp3.4.4
[11:57:28] 后台拉取: getapp3.4.4
[11:57:28] 后台拉取失败: getapp3.4.4 - Expecting value: line 1 column 1 (char 0)
[11:57:28] 后台拉取失败: getapp3.4.4 - Expecting value: line 1 column 1 (char 0)
[11:57:28] 后台拉取失败: getapp3.4.4 - Expecting value: line 1 column 1 (char 0)
[11:57:28] 后台拉取失败: getapp3.4.4 - Expecting value: line 1 column 1 (char 0)
[11:57:28] 后台拉取: 懒懒视频
[11:57:28] 后台拉取: 懒懒视频
[11:57:28] 后台拉取: 懒懒视频
[11:57:28] 后台拉取: 懒懒视频
[11:57:28] 后台拉取失败: 懒懒视频 - HTTPConnectionPool(host='llsp2.xn--it-if7c19g5s4bps5c.com', port=80): Max retries exceeded with url: /api.php/provide/index?tid=0 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection obje
[11:57:28] 后台拉取失败: 懒懒视频 - HTTPConnectionPool(host='llsp2.xn--it-if7c19g5s4bps5c.com', port=80): Max retries exceeded with url: /api.php/provide/index?tid=0 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection obje
[11:57:28] 后台拉取失败: 懒懒视频 - HTTPConnectionPool(host='llsp2.xn--it-if7c19g5s4bps5c.com', port=80): Max retries exceeded with url: /api.php/provide/index?tid=0 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection obje
[11:57:28] 后台拉取: htmlParser
[11:57:28] 后台拉取: htmlParser
[11:57:28] 后台拉取: htmlParser
[11:57:28] 后台拉取失败: htmlParser - 文件中未找到 Spider 类
[11:57:28] 后台拉取失败: htmlParser - 文件中未找到 Spider 类
[11:57:28] 后台拉取失败: htmlParser - 文件中未找到 Spider 类
[11:57:28] 后台拉取: spider
[11:57:28] 后台拉取: spider
[11:57:28] 后台拉取: spider
[11:57:28] 后台拉取失败: 懒懒视频 - HTTPConnectionPool(host='llsp2.xn--it-if7c19g5s4bps5c.com', port=80): Max retries exceeded with url: /api.php/provide/index?tid=0 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection obje
[11:57:28] 后台拉取: htmlParser
[11:57:28] 后台拉取失败: spider - Can't instantiate abstract class BaseSpider with abstract methods categoryContent, detailContent, homeContent, homeVideoContent, init, isVideoFormat, localProxy, manualVideoCheck, playerContent, searc
[11:57:28] 后台拉取失败: htmlParser - 文件中未找到 Spider 类
[11:57:28] 后台拉取失败: spider - Can't instantiate abstract class BaseSpider with abstract methods categoryContent, detailContent, homeContent, homeVideoContent, init, isVideoFormat, localProxy, manualVideoCheck, playerContent, searc
[11:57:28] 后台拉取失败: spider - Can't instantiate abstract class BaseSpider with abstract methods categoryContent, detailContent, homeContent, homeVideoContent, init, isVideoFormat, localProxy, manualVideoCheck, playerContent, searc
[11:57:28] 后台拉取: bridge
[11:57:28] 后台拉取: bridge
[11:57:28] 后台拉取: spider
[11:57:28] 后台拉取: bridge
[11:57:28] 后台拉取失败: bridge - 文件中未找到 Spider 类
[11:57:28] 后台拉取失败: bridge - 文件中未找到 Spider 类
[11:57:28] 后台拉取失败: spider - Can't instantiate abstract class BaseSpider with abstract methods categoryContent, detailContent, homeContent, homeVideoContent, init, isVideoFormat, localProxy, manualVideoCheck, playerContent, searc
[11:57:28] 后台拉取失败: bridge - 文件中未找到 Spider 类
[11:57:28] 后台拉取: t4_daemon
[11:57:28] 后台拉取: t4_daemon
[11:57:28] 后台拉取: bridge
[11:57:28] 后台拉取: t4_daemon
[11:57:28] 后台拉取失败: bridge - 文件中未找到 Spider 类
[11:57:28] 后台拉取失败: t4_daemon - 文件中未找到 Spider 类
[11:57:28] 后台拉取失败: t4_daemon - 文件中未找到 Spider 类
[11:57:28] 后台拉取失败: t4_daemon - 文件中未找到 Spider 类
[11:57:28] 后台拉取: t4_daemon_lite
[11:57:28] 后台拉取: t4_daemon_lite
[11:57:28] 后台拉取: t4_daemon
[11:57:28] 后台拉取: t4_daemon_lite
[11:57:28] 后台拉取失败: t4_daemon_lite - 文件中未找到 Spider 类
[11:57:28] 后台拉取失败: t4_daemon_lite - 文件中未找到 Spider 类
[11:57:28] 后台拉取失败: t4_daemon - 文件中未找到 Spider 类
[11:57:28] 后台拉取失败: t4_daemon_lite - 文件中未找到 Spider 类
[11:57:28] 后台拉取: t4_daemon_lite
[11:57:28] 后台拉取失败: t4_daemon_lite - 文件中未找到 Spider 类
[11:58:32] 模块导入完成
[11:58:32] init 开始
[11:58:40] init 完成，扫描到 248 个py源
[11:58:40] homeContent 开始
[11:58:40] homeContent 返回 249 个标签
[11:58:40] 后台拉取: 妲己
[11:58:46] 后台拉取失败: 妲己 - 
[11:58:46] 后台拉取: 房中㊙️术🔞
[11:58:52] 后台拉取失败: 房中㊙️术🔞 - 
[11:58:52] 后台拉取: package
[11:58:52] 后台拉取失败: package - 文件中未找到 Spider 类
[11:58:52] 后台拉取: _runner
[11:58:52] 后台拉取失败: _runner - 文件中未找到 Spider 类
[11:58:52] 后台拉取: basic
[11:58:52] 后台拉取失败: basic - 文件中未找到 Spider 类
[11:58:52] 后台拉取: dict
[11:58:52] 后台拉取失败: dict - 文件中未找到 Spider 类
[11:58:52] 后台拉取: klass
[11:58:52] 后台拉取失败: klass - 文件中未找到 Spider 类
[11:58:52] 后台拉取: long
[11:58:52] 后台拉取失败: long - 文件中未找到 Spider 类
[11:58:52] 后台拉取: protocol5
[11:58:52] 后台拉取失败: protocol5 - 文件中未找到 Spider 类
[11:58:52] 后台拉取: set
[11:58:52] 后台拉取失败: set - 文件中未找到 Spider 类
[11:58:52] 后台拉取: APP配置MAP提取器
[11:58:52] 后台拉取失败: APP配置MAP提取器 - 文件中未找到 Spider 类
[11:58:52] 后台拉取: XYQ规则链接提取器
[11:58:52] 后台拉取失败: XYQ规则链接提取器 - 文件中未找到 Spider 类
[11:58:52] 后台拉取: compare_source
[11:58:52] 后台拉取失败: compare_source - 文件中未找到 Spider 类
[11:58:52] 后台拉取: move_error_sources
[11:58:52] 后台拉取失败: move_error_sources - 文件中未找到 Spider 类
[11:58:52] 后台拉取: move_error_sources_test
[11:58:52] 后台拉取失败: move_error_sources_test - 文件中未找到 Spider 类
[11:58:52] 后台拉取: 采集分类生成器
[11:58:52] 后台拉取失败: 采集分类生成器 - 文件中未找到 Spider 类
[11:58:52] 后台拉取: 采集转换器
[11:58:52] 后台拉取失败: 采集转换器 - 文件中未找到 Spider 类
[11:58:52] 后台拉取: crawler
[11:58:52] 后台拉取失败: crawler - 文件中未找到 Spider 类
[11:58:52] 后台拉取: 4K影视
[11:58:58] 后台拉取失败: 4K影视 - 
[11:58:58] 后台拉取: AppFei
[11:58:58] 后台拉取失败: AppFei - Invalid URL '/api.php?type=getsort': No scheme supplied. Perhaps you meant https:///api.php?type=getsort?
[11:58:58] 后台拉取: AppFox
[11:58:58] 后台拉取失败: AppFox - Expecting value: line 1 column 1 (char 0)
[11:58:58] 后台拉取: AppGet
[11:58:58] 后台拉取失败: AppGet - 'key'
[11:58:58] 后台拉取: AppHs
[11:58:58] 后台拉取失败: AppHs - Invalid URL '/api/block/category_type': No scheme supplied. Perhaps you meant https:///api/block/category_type?
[11:58:58] 后台拉取: AppMuou
[11:58:58] 后台拉取失败: AppMuou - 'host'
[11:58:58] 后台拉取: AppSk
[11:58:58] 后台拉取失败: AppSk - 
[11:58:58] 后台拉取: AppToV5
[11:58:58] 后台拉取失败: AppToV5 - 
[11:58:58] 后台拉取: AppV1
[11:58:58] 后台拉取失败: AppV1 - Invalid URL '/v1.vod/types': No scheme supplied. Perhaps you meant https:///v1.vod/types?
[11:58:58] 后台拉取: AppV2²
[11:58:58] 后台拉取失败: AppV2² - Invalid URL '//api.php/app/nav?token=': No scheme supplied. Perhaps you meant https:////api.php/app/nav?token=?
[11:58:58] 后台拉取: AppV2¹
[11:58:58] 后台拉取失败: AppV2¹ - Expecting value: line 1 column 1 (char 0)
[11:58:58] 后台拉取: AppV6
[11:58:58] 后台拉取失败: AppV6 - Expecting value: line 1 column 1 (char 0)
[11:58:58] 后台拉取: AppYqk
[11:58:58] 后台拉取失败: AppYqk - Expecting value: line 1 column 1 (char 0)
[11:58:58] 后台拉取: _bridge
[11:58:58] 后台拉取失败: _bridge - 文件中未找到 Spider 类
[11:58:58] 后台拉取: base_java_loader
[11:58:58] 后台拉取失败: base_java_loader - No module named 't4'
[11:58:58] 后台拉取: base_test
[11:58:58] 后台拉取失败: base_test - No module named 'core'
[11:58:58] 后台拉取: getapp3.4.2
[11:58:58] 后台拉取失败: getapp3.4.2 - Expecting value: line 1 column 1 (char 0)
[11:58:58] 后台拉取: getapp3.4.4
[11:58:58] 后台拉取失败: getapp3.4.4 - Expecting value: line 1 column 1 (char 0)
[11:58:58] 后台拉取: 懒懒视频
[11:58:58] 后台拉取失败: 懒懒视频 - HTTPConnectionPool(host='llsp2.xn--it-if7c19g5s4bps5c.com', port=80): Max retries exceeded with url: /api.php/provide/index?tid=0 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection obje
[11:58:58] 后台拉取: htmlParser
[11:58:58] 后台拉取失败: htmlParser - 文件中未找到 Spider 类
[11:58:58] 后台拉取: spider
[11:58:58] 后台拉取失败: spider - Can't instantiate abstract class BaseSpider with abstract methods categoryContent, detailContent, homeContent, homeVideoContent, init, isVideoFormat, localProxy, manualVideoCheck, playerContent, searc
[11:58:58] 后台拉取: bridge
[11:58:58] 后台拉取失败: bridge - 文件中未找到 Spider 类
[11:58:58] 后台拉取: t4_daemon
[11:58:58] 后台拉取失败: t4_daemon - 文件中未找到 Spider 类
[11:58:58] 后台拉取: t4_daemon_lite
[11:58:58] 后台拉取失败: t4_daemon_lite - 文件中未找到 Spider 类
[12:35:53] homeContent 开始
[12:35:54] homeContent 返回 249 个标签
[12:35:54] 后台拉取: 妲己
[12:35:54] 后台拉取失败: 妲己 - HTTPSConnectionPool(host='3642.7rnr.com', port=443): Max retries exceeded with url: /web/index.html (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of
[12:35:54] 后台拉取: 房中㊙️术🔞
[12:36:00] 后台拉取成功: 房中㊙️术🔞
[12:36:00] 后台拉取: package
[12:36:00] 后台拉取失败: package - 文件中未找到 Spider 类
[12:36:00] 后台拉取: _runner
[12:36:00] 后台拉取失败: _runner - 文件中未找到 Spider 类
[12:36:00] 后台拉取: basic
[12:36:00] 后台拉取失败: basic - 文件中未找到 Spider 类
[12:36:00] 后台拉取: dict
[12:36:00] 后台拉取失败: dict - 文件中未找到 Spider 类
[12:36:00] 后台拉取: klass
[12:36:00] 后台拉取失败: klass - 文件中未找到 Spider 类
[12:36:00] 后台拉取: long
[12:36:00] 后台拉取失败: long - 文件中未找到 Spider 类
[12:36:00] 后台拉取: protocol5
[12:36:00] 后台拉取失败: protocol5 - 文件中未找到 Spider 类
[12:36:00] 后台拉取: set
[12:36:00] 后台拉取失败: set - 文件中未找到 Spider 类
[12:36:00] 后台拉取: APP配置MAP提取器
[12:36:00] 后台拉取失败: APP配置MAP提取器 - 文件中未找到 Spider 类
[12:36:00] 后台拉取: XYQ规则链接提取器
[12:36:00] 后台拉取失败: XYQ规则链接提取器 - 文件中未找到 Spider 类
[12:36:00] 后台拉取: compare_source
[12:36:00] 后台拉取失败: compare_source - 文件中未找到 Spider 类
[12:36:00] 后台拉取: move_error_sources
[12:36:00] 后台拉取失败: move_error_sources - 文件中未找到 Spider 类
[12:36:00] 后台拉取: move_error_sources_test
[12:36:00] 后台拉取失败: move_error_sources_test - 文件中未找到 Spider 类
[12:36:00] 后台拉取: 采集分类生成器
[12:36:00] 后台拉取失败: 采集分类生成器 - 文件中未找到 Spider 类
[12:36:00] 后台拉取: 采集转换器
[12:36:00] 后台拉取失败: 采集转换器 - 文件中未找到 Spider 类
[12:36:00] 后台拉取: crawler
[12:36:00] 后台拉取失败: crawler - 文件中未找到 Spider 类
[12:36:00] 后台拉取: 4K影视
[12:36:05] 后台拉取失败: 4K影视 - HTTPConnectionPool(host='110.42.110.226', port=9393): Read timed out. (read timeout=5)
[12:36:05] 后台拉取: AppFei
[12:36:05] 后台拉取失败: AppFei - Invalid URL '/api.php?type=getsort': No scheme supplied. Perhaps you meant https:///api.php?type=getsort?
[12:36:05] 后台拉取: AppFox
[12:36:05] 后台拉取失败: AppFox - Expecting value: line 1 column 1 (char 0)
[12:36:05] 后台拉取: AppGet
[12:36:05] 后台拉取失败: AppGet - 'key'
[12:36:05] 后台拉取: AppHs
[12:36:05] 后台拉取失败: AppHs - Invalid URL '/api/block/category_type': No scheme supplied. Perhaps you meant https:///api/block/category_type?
[12:36:05] 后台拉取: AppMuou
[12:36:05] 后台拉取失败: AppMuou - 'host'
[12:36:05] 后台拉取: AppSk
[12:36:05] 后台拉取失败: AppSk - 
[12:36:05] 后台拉取: AppToV5
[12:36:05] 后台拉取失败: AppToV5 - 
[12:36:05] 后台拉取: AppV1
[12:36:05] 后台拉取失败: AppV1 - Invalid URL '/v1.vod/types': No scheme supplied. Perhaps you meant https:///v1.vod/types?
[12:36:05] 后台拉取: AppV2²
[12:36:05] 后台拉取失败: AppV2² - Invalid URL '//api.php/app/nav?token=': No scheme supplied. Perhaps you meant https:////api.php/app/nav?token=?
[12:36:05] 后台拉取: AppV2¹
[12:36:05] 后台拉取失败: AppV2¹ - Expecting value: line 1 column 1 (char 0)
[12:36:05] 后台拉取: AppV6
[12:36:05] 后台拉取失败: AppV6 - Expecting value: line 1 column 1 (char 0)
[12:36:05] 后台拉取: AppYqk
[12:36:05] 后台拉取失败: AppYqk - Expecting value: line 1 column 1 (char 0)
[12:36:05] 后台拉取: _bridge
[12:36:05] 后台拉取失败: _bridge - 文件中未找到 Spider 类
[12:36:05] 后台拉取: base_java_loader
[12:36:05] 后台拉取失败: base_java_loader - No module named 't4'
[12:36:05] 后台拉取: base_test
[12:36:05] 后台拉取失败: base_test - No module named 'core'
[12:36:05] 后台拉取: getapp3.4.2
